date,value,period_type,label
1972-01-01,0.036000000000000004,quarters,1972 Q1
1972-04-01,0.037000000000000005,quarters,1972 Q2
1972-07-01,0.02,quarters,1972 Q3
1972-10-01,0.025,quarters,1972 Q4
1973-01-01,0.07200000000000001,quarters,1973 Q1
1973-04-01,0.052000000000000005,quarters,1973 Q2
1973-07-01,0.039,quarters,1973 Q3
1973-10-01,0.024,quarters,1973 Q4
1974-01-01,-0.038,quarters,1974 Q1
1974-04-01,-0.022000000000000002,quarters,1974 Q2
1974-07-01,-0.001,quarters,1974 Q3
1974-10-01,-0.008,quarters,1974 Q4
1975-01-01,0.024,quarters,1975 Q1
1975-04-01,-0.002,quarters,1975 Q2
1975-07-01,-0.013000000000000001,quarters,1975 Q3
1975-10-01,0.015,quarters,1975 Q4
1976-01-01,0.026000000000000002,quarters,1976 Q1
1976-04-01,0.035,quarters,1976 Q2
1976-07-01,0.046,quarters,1976 Q3
1976-10-01,0.046,quarters,1976 Q4
1977-01-01,0.03,quarters,1977 Q1
1977-04-01,0.017,quarters,1977 Q2
1977-07-01,0.01,quarters,1977 Q3
1977-10-01,0.009000000000000001,quarters,1977 Q4
1978-01-01,0.015,quarters,1978 Q1
1978-04-01,0.036000000000000004,quarters,1978 Q2
1978-07-01,0.043,quarters,1978 Q3
1978-10-01,0.031,quarters,1978 Q4
1979-01-01,0.013999999999999999,quarters,1979 Q1
1979-04-01,0.046,quarters,1979 Q2
1979-07-01,0.016,quarters,1979 Q3
1979-10-01,0.021,quarters,1979 Q4
1980-01-01,0.021,quarters,1980 Q1
1980-04-01,-0.023,quarters,1980 Q2
1980-07-01,0.006,quarters,1980 Q3
1980-10-01,-0.0,quarters,1980 Q4
1981-01-01,0.021,quarters,1981 Q1
1981-04-01,0.045,quarters,1981 Q2
1981-07-01,0.053,quarters,1981 Q3
1981-10-01,0.062,quarters,1981 Q4
1982-01-01,0.05,quarters,1982 Q1
1982-04-01,0.049,quarters,1982 Q2
1982-07-01,0.04,quarters,1982 Q3
1982-10-01,0.042,quarters,1982 Q4
1983-01-01,0.068,quarters,1983 Q1
1983-04-01,0.055999999999999994,quarters,1983 Q2
1983-07-01,0.051,quarters,1983 Q3
1983-10-01,0.036000000000000004,quarters,1983 Q4
1984-01-01,0.01,quarters,1984 Q1
1984-04-01,-0.012,quarters,1984 Q2
1984-07-01,-0.017,quarters,1984 Q3
1984-10-01,-0.004,quarters,1984 Q4
1985-01-01,0.004,quarters,1985 Q1
1985-04-01,0.043,quarters,1985 Q2
1985-07-01,0.04,quarters,1985 Q3
1985-10-01,0.027999999999999997,quarters,1985 Q4
1986-01-01,0.025,quarters,1986 Q1
1986-04-01,0.015,quarters,1986 Q2
1986-07-01,0.024,quarters,1986 Q3
1986-10-01,0.037000000000000005,quarters,1986 Q4
1987-01-01,0.031,quarters,1987 Q1
1987-04-01,0.031,quarters,1987 Q2
1987-07-01,0.036000000000000004,quarters,1987 Q3
1987-10-01,0.024,quarters,1987 Q4
1988-01-01,0.027999999999999997,quarters,1988 Q1
1988-04-01,0.015,quarters,1988 Q2
1988-07-01,0.009000000000000001,quarters,1988 Q3
1988-10-01,0.009000000000000001,quarters,1988 Q4
1989-01-01,-0.001,quarters,1989 Q1
1989-04-01,0.0,quarters,1989 Q2
1989-07-01,-0.005,quarters,1989 Q3
1989-10-01,-0.006999999999999999,quarters,1989 Q4
1990-01-01,0.004,quarters,1990 Q1
1990-04-01,0.012,quarters,1990 Q2
1990-07-01,0.009000000000000001,quarters,1990 Q3
1990-10-01,0.017,quarters,1990 Q4
1991-01-01,0.018000000000000002,quarters,1991 Q1
1991-04-01,0.024,quarters,1991 Q2
1991-07-01,0.040999999999999995,quarters,1991 Q3
1991-10-01,0.043,quarters,1991 Q4
1992-01-01,0.040999999999999995,quarters,1992 Q1
1992-04-01,0.026000000000000002,quarters,1992 Q2
1992-07-01,0.027999999999999997,quarters,1992 Q3
1992-10-01,0.035,quarters,1992 Q4
1993-01-01,0.035,quarters,1993 Q1
1993-04-01,0.04,quarters,1993 Q2
1993-07-01,0.037000000000000005,quarters,1993 Q3
1993-10-01,0.027000000000000003,quarters,1993 Q4
1994-01-01,0.024,quarters,1994 Q1
1994-04-01,0.025,quarters,1994 Q2
1994-07-01,0.015,quarters,1994 Q3
1994-10-01,0.004,quarters,1994 Q4
1995-01-01,0.008,quarters,1995 Q1
1995-04-01,0.002,quarters,1995 Q2
1995-07-01,0.013000000000000001,quarters,1995 Q3
1995-10-01,0.013999999999999999,quarters,1995 Q4
1996-01-01,0.018000000000000002,quarters,1996 Q1
1996-04-01,0.02,quarters,1996 Q2
1996-07-01,0.015,quarters,1996 Q3
1996-10-01,0.027000000000000003,quarters,1996 Q4
1997-01-01,0.021,quarters,1997 Q1
1997-04-01,0.024,quarters,1997 Q2
1997-07-01,0.023,quarters,1997 Q3
1997-10-01,0.027999999999999997,quarters,1997 Q4
1998-01-01,0.027000000000000003,quarters,1998 Q1
1998-04-01,0.03,quarters,1998 Q2
1998-07-01,0.023,quarters,1998 Q3
1998-10-01,0.021,quarters,1998 Q4
1999-01-01,0.018000000000000002,quarters,1999 Q1
1999-04-01,0.012,quarters,1999 Q2
1999-07-01,0.026000000000000002,quarters,1999 Q3
1999-10-01,0.027999999999999997,quarters,1999 Q4
2000-01-01,0.055,quarters,2000 Q1
2000-04-01,0.05,quarters,2000 Q2
2000-07-01,0.043,quarters,2000 Q3
2000-10-01,0.027000000000000003,quarters,2000 Q4
2001-01-01,0.012,quarters,2001 Q1
2001-04-01,0.013000000000000001,quarters,2001 Q2
2001-07-01,0.013000000000000001,quarters,2001 Q3
2001-10-01,0.017,quarters,2001 Q4
2002-01-01,0.011000000000000001,quarters,2002 Q1
2002-04-01,0.022000000000000002,quarters,2002 Q2
2002-07-01,0.017,quarters,2002 Q3
2002-10-01,0.019,quarters,2002 Q4
2003-01-01,0.023,quarters,2003 Q1
2003-04-01,0.02,quarters,2003 Q2
2003-07-01,0.028999999999999998,quarters,2003 Q3
2003-10-01,0.037000000000000005,quarters,2003 Q4
2004-01-01,0.02,quarters,2004 Q1
2004-04-01,0.021,quarters,2004 Q2
2004-07-01,0.012,quarters,2004 Q3
2004-10-01,-0.006999999999999999,quarters,2004 Q4
2005-01-01,0.009000000000000001,quarters,2005 Q1
2005-04-01,0.012,quarters,2005 Q2
2005-07-01,0.015,quarters,2005 Q3
2005-10-01,0.033,quarters,2005 Q4
2006-01-01,0.027000000000000003,quarters,2006 Q1
2006-04-01,0.02,quarters,2006 Q2
2006-07-01,0.016,quarters,2006 Q3
2006-10-01,0.004,quarters,2006 Q4
2007-01-01,0.012,quarters,2007 Q1
2007-04-01,0.013999999999999999,quarters,2007 Q2
2007-07-01,0.022000000000000002,quarters,2007 Q3
2007-10-01,0.031,quarters,2007 Q4
2008-01-01,0.013000000000000001,quarters,2008 Q1
2008-04-01,0.013999999999999999,quarters,2008 Q2
2008-07-01,-0.009000000000000001,quarters,2008 Q3
2008-10-01,-0.032,quarters,2008 Q4
2009-01-01,-0.027000000000000003,quarters,2009 Q1
2009-04-01,-0.035,quarters,2009 Q2
2009-07-01,-0.012,quarters,2009 Q3
2009-10-01,0.006999999999999999,quarters,2009 Q4
2010-01-01,0.021,quarters,2010 Q1
2010-04-01,0.024,quarters,2010 Q2
2010-07-01,0.019,quarters,2010 Q3
2010-10-01,0.011000000000000001,quarters,2010 Q4
2011-01-01,0.001,quarters,2011 Q1
2011-04-01,0.008,quarters,2011 Q2
2011-07-01,0.004,quarters,2011 Q3
2011-10-01,0.011000000000000001,quarters,2011 Q4
2012-01-01,0.01,quarters,2012 Q1
2012-04-01,-0.008,quarters,2012 Q2
2012-07-01,-0.005,quarters,2012 Q3
2012-10-01,-0.012,quarters,2012 Q4
2013-01-01,-0.011000000000000001,quarters,2013 Q1
2013-04-01,0.001,quarters,2013 Q2
2013-07-01,-0.005,quarters,2013 Q3
2013-10-01,0.004,quarters,2013 Q4
2014-01-01,0.003,quarters,2014 Q1
2014-04-01,-0.001,quarters,2014 Q2
2014-07-01,0.01,quarters,2014 Q3
2014-10-01,0.005,quarters,2014 Q4
2015-01-01,0.005,quarters,2015 Q1
2015-04-01,0.01,quarters,2015 Q2
2015-07-01,0.006999999999999999,quarters,2015 Q3
2015-10-01,-0.006999999999999999,quarters,2015 Q4
2016-01-01,0.005,quarters,2016 Q1
2016-04-01,0.005,quarters,2016 Q2
2016-07-01,0.006,quarters,2016 Q3
2016-10-01,0.023,quarters,2016 Q4
2017-01-01,0.015,quarters,2017 Q1
2017-04-01,0.012,quarters,2017 Q2
2017-07-01,0.026000000000000002,quarters,2017 Q3
2017-10-01,0.027999999999999997,quarters,2017 Q4
2018-01-01,0.02,quarters,2018 Q1
2018-04-01,0.018000000000000002,quarters,2018 Q2
2018-07-01,-0.005,quarters,2018 Q3
2018-10-01,-0.006999999999999999,quarters,2018 Q4
2019-01-01,-0.012,quarters,2019 Q1
2019-04-01,-0.01,quarters,2019 Q2
2019-07-01,0.006999999999999999,quarters,2019 Q3
2019-10-01,0.008,quarters,2019 Q4
2020-01-01,0.013000000000000001,quarters,2020 Q1
2020-04-01,-0.015,quarters,2020 Q2
2020-07-01,0.057999999999999996,quarters,2020 Q3
2020-10-01,0.004,quarters,2020 Q4
2021-01-01,0.019,quarters,2021 Q1
2021-04-01,0.057999999999999996,quarters,2021 Q2
2021-07-01,-0.037000000000000005,quarters,2021 Q3
2021-10-01,0.021,quarters,2021 Q4
2022-01-01,0.013999999999999999,quarters,2022 Q1
2022-04-01,0.002,quarters,2022 Q2
2022-07-01,0.013999999999999999,quarters,2022 Q3
2022-10-01,0.004,quarters,2022 Q4
2023-01-01,-0.005,quarters,2023 Q1
2023-04-01,-0.003,quarters,2023 Q2
2023-07-01,0.001,quarters,2023 Q3
2023-10-01,-0.009000000000000001,quarters,2023 Q4
2024-01-01,-0.004,quarters,2024 Q1
2024-04-01,-0.005,quarters,2024 Q2
2024-07-01,-0.019,quarters,2024 Q3
2024-10-01,-0.0,quarters,2024 Q4
2025-01-01,0.003,quarters,2025 Q1
2025-04-01,-0.006,quarters,2025 Q2
