Date,Value,Sector
"Sunday, 28 March 2010",6070.46,Private
"Tuesday, 13 July 2010",6144.37,Private
"Monday, 22 November 2010",6113.85,Private
"Tuesday, 19 April 2011",6066.93,Private
"Friday, 16 September 2011",5898.82,Private
"Friday, 27 January 2012",5821.26,Private
"Friday, 22 June 2012",5864.01,Private
"Saturday, 24 November 2012",6024.05,Private
"Wednesday, 15 May 2013",6281.71,Private
"Wednesday, 9 October 2013",6574.80,Private
"Wednesday, 19 March 2014",6891.86,Private
"Sunday, 10 August 2014",7083.17,Private
"Tuesday, 6 January 2015",7278.78,Private
"Thursday, 28 May 2015",7334.14,Private
"Tuesday, 20 October 2015",7407.80,Private
"Sunday, 20 March 2016",7701.14,Private
"Sunday, 3 July 2016",8237.64,Private
"Wednesday, 16 November 2016",8724.57,Private
"Sunday, 26 March 2017",9095.35,Private
"Saturday, 5 August 2017",9471.93,Private
"Monday, 25 December 2017",9635.25,Private
"Saturday, 5 May 2018",9531.21,Private
"Saturday, 8 September 2018",9481.90,Private
"Wednesday, 16 January 2019",9487.45,Private
"Saturday, 18 May 2019",9783.95,Private
"Tuesday, 3 September 2019",10061.40,Private
"Monday, 21 October 2019",10295.22,Private
"Sunday, 21 March 2010",15003.25,Public
"Friday, 23 July 2010",14669.42,Public
"Sunday, 14 November 2010",14427.28,Public
"Tuesday, 5 April 2011",14056.37,Public
"Sunday, 7 August 2011",13605.89,Public
"Thursday, 8 December 2011",13218.84,Public
"Sunday, 25 March 2012",12932.05,Public
"Tuesday, 10 July 2012",12842.26,Public
"Monday, 5 November 2012",12758.64,Public
"Monday, 4 March 2013",12604.65,Public
"Sunday, 30 June 2013",12398.45,Public
"Saturday, 9 November 2013",12161.36,Public
"Thursday, 20 March 2014",11859.43,Public
"Sunday, 20 July 2014",11625.99,Public
"Thursday, 6 November 2014",11443.50,Public
"Friday, 6 March 2015",11443.50,Public
"Thursday, 9 July 2015",11548.94,Public
"Tuesday, 3 November 2015",11689.56,Public
"Wednesday, 16 March 2016",11924.38,Public
"Saturday, 9 July 2016",12234.13,Public
"Sunday, 6 November 2016",12413.34,Public
"Saturday, 18 March 2017",12456.85,Public
"Friday, 14 July 2017",12361.63,Public
"Thursday, 30 November 2017",12284.82,Public
"Tuesday, 24 April 2018",12217.35,Public
"Friday, 24 August 2018",12192.13,Public
"Sunday, 20 January 2019",12167.28,Public
"Thursday, 13 June 2019",12047.47,Public
"Tuesday, 29 October 2019",11917.57,Public