product_id,category,product_title
3547762,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","Innocent Strawberries, Bananas & Apples Smoothie 250ml"
6851808,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]",Ella's Kitchen Organic Strawberries & Apples Baby Food Pouch 4+ Months 120g
7828571,[],[Store Brand] Co. Strawberries 250g
7832898,"[""Frozen"", ""Frozen essentials""]",[Store Brand] Frozen Strawberries & Blueberries 400g
7994911,"[""Fruit & vegetables"", ""Fresh fruit"", ""All fruit""]","[Store Brand] Strawberries, [Store Brand] 250g"
7994916,"[""Dietary & world foods"", ""Organic"", ""All organic""]","[Store Brand] Strawberries, [Store Brand]"
8027508,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Kids Strawberries, Kiwis & Apples Super Smoothies with Vitamins & Iron 4x150ml"
8036740,"[""Food cupboard"", ""Cereals"", ""All cereals""]",Jordans Deluxe Dark Chocolate & Strawberries Granola Breakfast Cereal 500g
8056495,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]",Ella's Kitchen Organic Dairy Free Rice Pudding with Bananas & Strawberries Baby Food Pouch 7+ Months 80g
8056788,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]","Ella's Kitchen Organic Strawberries, Rhubarb & Apples Baby Food Pouch 4+ Months 120g"
8061782,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Strawberries, Pineapples & Apples Smoothie 750ml"
8071860,"[""Food cupboard"", ""Canned, tinned & packaged foods"", ""Fruit""]",Princes Strawberries in Light Syrup 410g
8072524,"[""Food cupboard"", ""Crisps, nuts & snacking fruit"", ""Snacking fruit & seeds""]",Whitworths Sunny Fruit Mix-Ups Strawberries & Sultanas 4x18g
8079553,[],[Store Brand] Giant Strawberries 160g
8085183,"[""Dairy, eggs & chilled"", ""Dairy & eggs"", ""Milk"", ""Flavoured milk""]",Tom Parker Creamery Free Range Strawberries & Cream Milk 250ml
8097729,"[""Fruit & vegetables"", ""Fresh fruit"", ""All fruit""]",[Store Brand] Strawberries 250g
8109372,"[""Fruit & vegetables"", ""Fresh fruit"", ""All fruit""]",[Store Brand] Strawberries 400g
8114522,"[""Frozen"", ""Fruit, vegetables & herbs"", ""All vegetables""]",[Store Brand] Frozen Whole Strawberries 350g
8198420,"[""Dietary & world foods"", ""Vegetarian & plant based""]","[Store Brand] Strawberries & Clotted Cream Ice Cream, [Store Brand] 480ml"
8201851,"[""Dairy, eggs & chilled"", ""Dairy & eggs"", ""Special offers""]",Arla High Protein Skyr Whipped Yogurt Strawberries & Cream 128g
8204504,"[""Food cupboard"", ""Cereals"", ""All cereals""]",Quaker High in Protein Strawberries & Cream Porridge Sachets 8x42g
6616790,"[""Food cupboard"", ""Crisps, nuts & snacking fruit"", ""Lunchbox snacking""]",Urban Fruit Gently Baked Strawberries 90g
7485206,"[""Dairy, eggs & chilled"", ""Dairy & chilled essentials""]","Innocent Strawberries, Bananas & Apples Smoothie 750ml"
7620449,"[""Food cupboard"", ""Sugar & home baking"", ""Dried fruit & peel""]",[Store Brand] Freeze Dried Strawberries 6g
7669196,"[""Food cupboard"", ""Confectionery"", ""Boxed chocolate""]",Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g
7748522,"[""Food cupboard"", ""Crisps, nuts & snacking fruit"", ""Lunchbox snacking""]",Urban Fruit Gently Baked Strawberries 35g
7958096,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]","Little Freddie Organic Strawberries, Blueberries & Oats 100g"
7972188,[],[Store Brand] Strawberries 800g
7972265,[],[Store Brand] Org Strawberries 400g
7972282,[],"[Store Brand] Strawberries, [Store Brand] 400g"
8013061,"[""Dairy, eggs & chilled"", ""Dairy & chilled essentials""]","innocent Kids Strawberries, Raspberries & Apples Smoothies 4x150ml"
8012636,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Kids Strawberries, Raspberries & Apples Smoothies 10x150ml"
8013219,"[""Dairy, eggs & chilled"", ""Fruit juice & drinks"", ""All fruit juice & smoothies""]","innocent Kids Cherries, Strawberries & Apples Smoothies 4x150ml"
8051979,"[""Dietary & world foods"", ""Special offers""]",PhD Strawberries & Cream Diet Plant Protein Powder 500g
8146598,[],[Store Brand] Strawberries & Cream Custard Creams
8162353,[],Grenade Carb Killa High Protein Shake Strawberries & Cream Flavoured 330ml
8185155,"[""Dietary & world foods"", ""Free From"", ""Gluten free"", ""All gluten free""]",Häagen-Dazs Strawberries & Cream Ice Cream 460ml
8201493,"[""Dairy, eggs & chilled"", ""Dairy & eggs"", ""Milk"", ""Flavoured milk""]",Huel Strawberries & Cream 500ml
8205574,"[""Food cupboard"", ""Cereals"", ""All cereals""]",Quaker Oats High Protein Strawberries & Cream Porridge Pot 58g
8206052,"[""Baby & toddler"", ""Baby meals"", ""All baby meals""]","Little Freddie Organic Strawberries, Bananas & Apples Stage 1 +6 Months Smooth 90g"
52073,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 400g
57475,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 227g
702357,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 400g
78857,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 400g
87744,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Everyday Essentials Strawberries 227g
4061461165871,"[""Frozen Food"", ""Ice Cream & Desserts"", ""Desserts"", ""Specially Selected Strawberries & Cream Roulade 430g""]",Specially Selected Strawberries &amp; Cream Roulade 430g
4061461899332,"[""Frozen Food"", ""Ice Cream & Desserts"", ""Gianni's Strawberries & Cream Ice Cream 900ml""]",Gianni's Strawberries &amp; Cream Ice Cream 900ml
4061461501068,"[""Baby & Toddler"", ""Baby Food & Drink"", ""Pouches & Pots"", ""Mamia Strawberries, Rhubarb & Apples 120g""]","Mamia Strawberries, Rhubarb &amp; Apples 120g"
4061462279584,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 600g
4061462309175,"[""Frozen Food"", ""Frozen Fruit & Smoothie Mixes""]",Four Seasons Whole Frozen Strawberries 350g
4061462984921,"[""Drinks"", ""Wine"", ""Ros\u00e9 Wine"", ""Specially Selected Strawberries & Cream Ros\u00e9 75cl""]",Specially Selected Strawberries &amp; Cream Rosé 75cl
4061463865809,"[""Food Cupboard"", ""Seeds, Nuts & Dried Fruits"", ""Dried Fruits""]",The Foodie Market Dried Strawberries 100g
4061464664616,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 1kg
4088600071398,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Everyday Essentials Strawberries 227g
4088600013909,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 227g
4088600013923,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 227g
4088600013916,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 227g
4088600114996,"[""Frozen Food"", ""Ice Cream & Desserts"", ""Ice Cream Tubs"", ""Gianni's Strawberries & Cream Ice Cream 900ml""]",Gianni's Strawberries &amp; Cream Ice Cream 900ml
4088600192802,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 400g
4088600192864,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 600g
4088600192819,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 400g
4088600192871,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 600g
4088600192659,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 227g
4088600192642,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Nature's Pick Strawberries 227g
4088600264974,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 400g
4088600264967,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries""]",Specially Selected Strawberries 400g
4088600314167,"[""Frozen Food"", ""Frozen Fruit & Smoothie Mixes""]",Four Seasons Frozen Whole Strawberries 350g
4088600388786,"[""Drinks"", ""Soft Drinks & Juices"", ""Juices"", ""The Juice Company Strawberries, Raspberries & Apples 100% Fruit Smoothies 4x150ml""]","The Juice Company Strawberries, Raspberries &amp; Apples 100% Fruit Smoothies 4x150ml"
4088600384887,"[""Baby & Toddler"", ""Baby Food & Drink"", ""Pouches & Pots"", ""Mamia Organic Strawberries & Apples Fruit Pouch 120g""]",Mamia Organic Strawberries &amp; Apples Fruit Pouch 120g
5000232007964,"[""Food Cupboard"", ""Tins, Cans & Packets"", ""Tinned & Pot Fruit""]",Prince S Strawberries In Light Syrup 410g (129g Drained)
5031396085451,"[""Food Cupboard"", ""Chocolate & Sweets"", ""Jelly & Soft Sweets""]",Candy Realms Fizzy Strawberries 190g
113830529,"['Food Cupboard', 'Breakfast Cereal', 'Porridge', 'Instant']",Quaker Oats High Protein Strawberries & Cream Porridge Pot
114012093,"['Fresh', 'Yogurts', 'Big Pots', 'Skyr']",Arla Skyr Whipped Yogurt Strawberries & Cream
100749991,"['Baby & Toddler', 'Baby & Toddler Food & Drinks', 'Stage 1 (4-6 Months)', 'Desserts']",Ella's Kitchen Strawberries and Apples Baby Food Pouch 4+ Months
109890991,"['Baby & Toddler', 'Baby & Toddler Food & Drinks', 'Stage 1 (4-6 Months)', 'Desserts']","Ella's Kitchen Strawberries, Rhubarb and Apples Baby Food Pouch 4+ Months"
111736651,"['Fresh', 'Chilled Juice & Smoothies', 'Chilled Smoothies']","Innocent Smoothie Strawberries, Pineapples & Apples"
108850171,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",[Store Brand] Strawberries
113690714,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",Driscoll's Strawberries 250g
114133952,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Dried Fruit']",[Store Brand] Dried Strawberries
114153751,"['Chocolate & Sweets', 'Sweets', 'Sweet Pouches & Bags', 'Toffee, Fudge & Liquorice']",[Store Brand] Strawberries & Clotted Cream Fudge 150g
108475411,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",[Store Brand] Strawberries 227g
106036634,"['Chocolate & Sweets', 'Gifts', 'Boxed & Gifting Chocolates', 'Chocolates for Gifting']",Lindor Cornet Strawberries & Cream
114733923,"['Fruit & Veg', 'Nuts & Seeds']","Wondermix Fight Fatigue Banana, Strawberries And Apple 200g"
113073505,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",[Store Brand] Strawberries
113830490,"['Bakery & Cakes', 'Cakes & Cupcakes', 'Small Cakes & Slices', 'Small Cakes']",Mr Kipling Strawberries & Cream French Fancies Cakes Multipack Snack 8pk
110772837,"['Frozen', 'Fruit']",[Store Brand] Strawberries
113834722,"['Food Cupboard', 'Breakfast Cereal', 'Porridge', 'Instant']",Quaker High Protein Strawberries & Cream Porridge Sachets Oat So Simple
112960233,"['Fresh', 'Yogurts', 'Luxury Yogurts & Dairy Desserts', 'Luxury Yogurts']",[Store Brand] Strawberries & Cream Yoghurt
114235641,"['Home & Garden', 'Stationery & Home Office', 'Paper & Notebooks', 'Notebooks']",[Store Brand] Strawberries Print A5 Notebook
103167137,"['Fresh', 'Chilled Juice & Smoothies', 'Chilled Smoothies']",Innocent Strawberries & Bananas Smoothie
107973347,"['Vegan', 'Food Cupboard ', 'Crisps, Snacks & Nuts', 'Snacks']",BEAR Fruit Dried Strawberries
112780152,"['Market Street', 'Fresh Fruit & Veg', 'Organic Fruit & Veg', 'Fruit']",[Store Brand] Organic Strawberries
110942390,"['Fresh', 'Chilled Juice & Smoothies', 'Chilled Smoothies']","Innocent Kids Strawberries, Raspberries & Apples Juice"
108473117,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",[Store Brand] Strawberries 400g
110942242,"['Fresh', 'Chilled Juice & Smoothies', 'Chilled Smoothies']","Innocent Smoothies Kids Cherries, Strawberries & Apples"
102789372,"['Fresh', 'Chilled Juice & Smoothies', 'Chilled Smoothies']",Innocent Strawberries & Bananas Smoothie
113120172,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",[Store Brand] Strawberries
114399523,"['Frozen', 'Ice Cream', 'Ice Cream', 'Luxury Ice Cream']",Little Moons Strawberries & Cream Mochi Ice Cream
112462171,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Fruit Pots, Packs & Platters', 'Kids']",[Store Brand] Little Kitchen Kids Raisins & Strawberries
114517260,"['Bakery & Cakes', 'Pies & Tarts', 'Tarts']",Mr Kipling Strawberries & Cream Tarts Multipack Snack 4pk
111088746,"['Fresh', 'Chilled Juice & Smoothies', 'Chilled Smoothies']","Innocent Smoothies Kids Strawberries, Raspberries & Apples"
114303712,"['Baby & Toddler', 'Baby & Toddler Food & Drinks', 'Stage 1 (4-6 Months)', 'Desserts']","Little Freddie Strawberries, Blueberries & Oats 6 Months+"
113455028,"['Market Street', 'Fresh Fruit & Veg', 'Fruit', 'Berries & Cherries', 'Strawberries']",[Store Brand] Strawberries 227g
113648524,"['Bakery & Cakes', 'Cakes & Cupcakes', 'Small Cakes & Slices', 'Small Cakes']",Mr Kipling Strawberries & Cream Chequer Cake Serves 8
1000383264568,"['Food Cupboard', 'Home Baking', ' Baking Nuts, Seeds & Fruit', 'Baking Nuts, Seeds & Fruit']",BEAR Fruit Strawberries 35g
998058,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] Ripe & Sweet Strawberries 400g
1000383235943,"['Bakery', 'Cake Bars, Slices & Tarts', 'Mr Kipling', 'Mr Kipling']",Mr Kipling 8 Strawberries & Cream Fancies
9999999111907,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] Strawberries & Cream Bundle
1000383236903,"['Food Cupboard', 'Cereals & Cereal Bars', 'Porridge & Oats', 'Porridge Pots']",Quaker Oats High Protein Strawberries & Cream Porridge Pot 58g
1000048430585,"['Frozen Food', 'Ice Cream Parlour', 'Frozen Fruit & Ice', 'Frozen Fruit & Smoothie Mixes']",[Store Brand] Frozen for Freshness Strawberries
9237596,"['Food Cupboard', 'Cereals & Cereal Bars', 'Muesli, Granola & Crisp', 'Granola & Crisp']",Jordans Country Crisp Breakfast Cereal with Sun-Ripe Strawberries 500g
1000383191202,"['Health & Wellness', 'Sports Nutrition', 'Protein Bars & Snacks', 'Protein Bars & Snacks']",Novo Protein Wafer Strawberries and Cream Flavour 40g
1000368333077,"['Food Cupboard', 'Cereals & Cereal Bars', 'Muesli, Granola & Crisp', 'Muesli']","Nature's Path Path Organic Granola Blueberries, Raspberries, Strawberries & Yogurt Chunks 300g"
1000383236930,"['Food Cupboard', 'Cereals & Cereal Bars', 'Porridge & Oats', 'Porridge Pots']",Quaker High in Protein Strawberries & Cream Porridge Sachets 8x42g
910002901713,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] Ripe & Sweet Strawberries
1000383254468,"['Chilled Food', 'Yogurts & Desserts', 'Yogurts & Fromage Frais', 'Single Pots & On the Go Yogurts']",Arla Skyr Whipped Strawberries & Cream 128g
9999999113231,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] Strawberries Stock up Bundle
910003050006,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] Organic Grower's Selection Organic Strawberries 225g
910001676302,"['Food Cupboard', 'Chocolates & Sweets', 'Boxed Chocolates & Gifts', 'Boxes of Chocolates']",Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g
910000042378,"['Baby, Toddler & Kids', 'Baby & Toddler Food', 'First Tastes', 'Pouches']",Ella's Kitchen Organic Strawberries and Apples Baby Food Pouch 4+ Months
1000054991437,"['Baby, Toddler & Kids', 'Baby & Toddler Food', 'First Tastes', 'Pouches']","Ella's Kitchen Organic Strawberries, Rhubarb and Apples Baby Food Pouch 4+ Months"
1000243014175,"['Baby, Toddler & Kids', 'Baby & Toddler Food', 'Popular Brands', ""Ella's Kitchen Baby Food""]",Ella's Kitchen Organic Dairy Free Rice Pudding with Bananas and Strawberries Baby Food Pouch 7+ Months
1000231165272,"['Chilled Food', 'Chilled Juice & Smoothies', 'Kids Juice & Smoothies', 'Kids Juice & Smoothies']","Innocent Smoothies Just for Kids Strawberries, Raspberries & Apples"
1000231766472,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] Strawberries 227g
1000383209886,"['Frozen Food', 'Ice Cream Parlour', 'Ice Cream Tubs', 'Luxury Ice Cream Tubs']",Haagen-Dazs Strawberries & Cream Ice Cream 460ml
1000383219705,"['Meat, Poultry & Fish', 'Meat & Poultry', 'Food To Order 2', 'Food To Order 2']",Bistro by [Store Brand] Strawberries with Belgian Chocolate Dip 260g
1000383228918,"['Chilled Food', 'Yogurts & Desserts', 'Yogurts & Fromage Frais', 'Luxury Yogurts']",Exceptional by [Store Brand] Strawberries & Cream Yogurt 450g
1000012735128,"['Fruit, Veg & Flowers', 'Fruit', 'Berries & Cherries', 'Berries & Cherries']",[Store Brand] by [Store Brand] Farm Stores Strawberries 227g
304407129,"[""Health & Beauty"", ""Lifestyle & Wellbeing"", ""Sports Nutrition"", ""Protein Powder""]",Grenade Carb Killa High Protein Shake - Strawberries & Cream 330ml
311211822,"[""Fresh Food"", ""Fresh Fruit"", ""Fruit Pots, Platters & Packs"", ""Fruit Snacks - Fruit Pots""]","[Store Brand] Melon,Grapes, Kiwi, Strawberries & Pomegranate 275G"
316931060,"[""Food Cupboard"", ""Cereals"", ""Porridge & Oats"", ""Porridge Sachets""]",Quaker High Protein Strawberries & Cream Porridge Sachets Oat So Simple 8x42g
315960372,"[""Frozen Food"", ""Ice Cream & Lollies"", ""Ice Cream Snacking & Mochi "", ""Ice Cream Snacking & Mini Bites""]",TrüFrü White & Milk Chocolate covered Strawberries 227g
311791566,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries"", ""Strawberries""]",[Store Brand] Strawberries 600G
287529333,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries"", ""Strawberries""]",[Store Brand] Strawberries 400G
303391549,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries"", ""Strawberries""]",Finest Strawberries 227G
263419362,"[""Baby & Toddler"", ""Baby & Toddler Food"", ""Stage 1: From 6 Months"", ""Baby Food Pouches""]",Ella's Kitchen Strawberries Plus Apples 120G
292226511,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries"", ""Strawberries""]",Rosedene Farms Strawberries 227G
315860035,"[""Frozen Food"", ""Ice Cream & Lollies"", ""Ice Lollies"", ""Ice Cream - Ice Lollies""]",[Store Brand] Strawberries and Cream Ice Lollies 284g (4x70ml)
312984967,"[""Fresh Food"", ""Fresh Fruit"", ""Fruit Pots, Platters & Packs"", ""Fruit Platters""]","[Store Brand] Banana, Strawberries , Appl & Grapes 220G"
305054331,"[""Food Cupboard"", ""Tins, Cans & Packets"", ""Tinned & Pot Fruit"", ""Tinned Strawberries""]",Princes Strawberries In Light Syrup 410G
305251564,"[""Drinks"", ""Kids Drinks"", ""Kids Juices & Smoothies"", ""Kids Juice Cartons""]","innocent Kids Smoothies Strawberries, Raspberries & Apples 10 x 150ml"
305249700,"[""Drinks"", ""Kids Drinks"", ""Kids Juices & Smoothies"", ""Kids Juice Cartons""]","innocent Kids Smoothies Strawberries, Raspberries & Apples 4 x 150ml"
287377615,"[""Fresh Food"", ""Fresh Fruit"", ""Berries & Cherries"", ""Strawberries""]",[Store Brand] Strawberries 300G
317550612,"[""Bakery"", ""Cakes, Cake Bars, Slices & Pies"", ""Small Cakes, Bites & Slices"", ""Small Cakes, Bites & Slices""]",Mr Kipling Strawberries and Cream French Fancies Cakes 8 Pack
