year,country_name,area_name,dwellings,population,dwellings_per_capita
2016,Australia,Sydney,1858611.0,5024923.0,0.3698785036109011
2021,Austria,Vienna,1066262.0,1923825.0,0.5542406403908879
2021,Belgium,Brussels,592942.0,1219970.0,0.4860299843438773
2016,Canada,Toronto,1112929.0,2731571.0,0.4074318405049695
2017,Chile,Santiago,2378490.0,7112808.0,0.3343953611569439
2021,China,Hong Kong,2942800.0,7394700.0,0.3979607015835666
2020,Denmark,Copenhagen,418278.0,794128.0,0.5267135776600246
2021,Finland,Helsinki,382153.0,658427.0,0.580402990764352
2020,France,Paris,3671269.0,7086619.0,0.518056494923743
2021,Germany,Berlin,1998155.0,3677472.0,0.5433501601099886
2022,Ireland,Dublin,568037.0,1450701.0,0.3915603559934128
2018,Japan,Tokyo,7671600.0,13813700.0,0.555361706132318
2022,Netherlands,Amsterdam,690008.0,1411057.0,0.4890007986920443
2023,Norway,Oslo,350315.0,709037.0,0.49407153646424656
2021,Portugal,Lisbon,1509926.0,2861600.0,0.5276509644953872
2022,Singapore,Singapore,1526540.0,5637022.0,0.2708061100346956
2021,South Korea,Seoul,3811900.0,9509458.0,0.4008535502233671
2021,Spain,Barcelona,2672442.0,5714730.0,0.4676409909129565
2021,Spain,Madrid,3051377.0,6751251.0,0.4519720863585134
2021,Sweden,Stockholm,1126412.0,2415139.0,0.4663963440613563
2022,Switzerland,ZÃ¼rich,778908.0,1601320.0,0.4864162066295306
2020,UK,London,3633649.4,9002500.0,0.40362670369341846
2020,USA,New York,3618365.0,8804190.0,0.4109821573591665
